Macrotrends Data Download

U.S. Birth Rate 1950-2021
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People
1950,24.268
1951,24.211
1952,24.155
1953,24.099
1954,24.043
1955,23.987
1956,23.93
1957,23.874
1958,23.818
1959,23.257
1960,22.696
1961,22.134
1962,21.573
1963,21.012
1964,20.336
1965,19.66
1966,18.984
1967,18.308
1968,17.632
1969,17.232
1970,16.832
1971,16.431
1972,16.031
1973,15.631
1974,15.456
1975,15.281
1976,15.106
1977,14.931
1978,14.756
1979,14.871
1980,14.986
1981,15.102
1982,15.217
1983,15.332
1984,15.396
1985,15.461
1986,15.525
1987,15.59
1988,15.654
1989,15.613
1990,15.573
1991,15.532
1992,15.492
1993,15.451
1994,15.217
1995,14.983
1996,14.75
1997,14.516
1998,14.282
1999,14.232
2000,14.182
2001,14.133
2002,14.083
2003,14.033
2004,13.989
2005,13.945
2006,13.9
2007,13.856
2008,13.812
2009,13.558
2010,13.305
2011,13.051
2012,12.798
2013,12.544
2014,12.429
2015,12.314
2016,12.198
2017,12.083
2018,11.968
2019,11.979
2020,11.99
2021,12.001
2022,12.012
2023,12.023
2024,12.009
2025,11.994
2026,11.98
2027,11.965
2028,11.951
2029,11.895
2030,11.84
