Macrotrends Data Download

U.S. Population Growth Rate 1950-2021
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Growth Rate
1950,158804395
1951,160872266,1.3
1952,163266028,1.49
1953,165910003,1.62
1954,168736387,1.7
1955,171685336,1.75
1956,174705003,1.76
1957,177751483,1.74
1958,180788392,1.71
1959,183786252,1.66
1960,186720571,1.6
1961,189569843,1.53
1962,192313746,1.45
1963,194932403,1.36
1964,197408505,1.27
1965,199733676,1.18
1966,201895760,1.08
1967,203905080,1
1968,205805754,0.93
1969,207659263,0.9
1970,209513341,0.89
1971,211384068,0.89
1972,213269802,0.89
1973,215178797,0.9
1974,217114909,0.9
1975,219081251,0.91
1976,221086429,0.92
1977,223135663,0.93
1978,225223303,0.94
1979,227339318,0.94
1980,229476354,0.94
1981,231636058,0.94
1982,233821844,0.94
1983,236030238,0.94
1984,238256844,0.94
1985,240499825,0.94
1986,242763148,0.94
1987,245052789,0.94
1988,247372264,0.95
1989,249725805,0.95
1990,252120309,0.96
1991,254539370,0.96
1992,256990613,0.96
1993,259532129,0.99
1994,262241196,1.04
1995,265163745,1.11
1996,268335003,1.2
1997,271713635,1.26
1998,275175301,1.27
1999,278548150,1.23
2000,281710909,1.14
2001,284607993,1.03
2002,287279318,0.94
2003,289815562,0.88
2004,292354658,0.88
2005,294993511,0.9
2006,297758969,0.94
2007,300608429,0.96
2008,303486012,0.96
2009,306307567,0.93
2010,309011475,0.88
2011,311584047,0.83
2012,314043885,0.79
2013,316400538,0.75
2014,318673411,0.72
2015,320878310,0.69
2016,323015995,0.67
2017,325084756,0.64
2018,327096265,0.62
2019,329064917,0.6
2020,331002651,0.59
2021,332915073,0.58
2022,334805269,0.57
2023,336679228,0.56
2024,338542561,0.55
2025,340399601,0.55
2026,342251981,0.54
2027,344100706,0.54
2028,345947845,0.54
2029,347795038,0.53
2030,349641876,0.53
2031,351490184,0.53
2032,353335452,0.52
2033,355162916,0.52
2034,356952973,0.5
2035,358690999,0.49
2036,360371861,0.47
2037,361997623,0.45
2038,363570010,0.43
2039,365093533,0.42
2040,366572154,0.4
2041,368006423,0.39
2042,369396553,0.38
2043,370746303,0.37
2044,372060392,0.35
2045,373343348,0.34
2046,374598063,0.34
2047,375827634,0.33
2048,377037237,0.32
2049,378232675,0.32
2050,379419102,0.31
2051,380599427,0.31
2052,381776449,0.31
2053,382954886,0.31
2054,384139750,0.31
2055,385334861,0.31
2056,386542306,0.31
2057,387762561,0.32
2058,388995481,0.32
2059,390240014,0.32
2060,391494896,0.32
2061,392759632,0.32
2062,394033207,0.32
2063,395312812,0.32
2064,396594900,0.32
2065,397876093,0.32
2066,399154712,0.32
2067,400428621,0.32
2068,401693245,0.32
2069,402943276,0.31
2070,404174399,0.31
2071,405384568,0.3
2072,406572835,0.29
2073,407737648,0.29
2074,408877809,0.28
2075,409992632,0.27
2076,411081498,0.27
2077,412144637,0.26
2078,413183530,0.25
2079,414200417,0.25
2080,415197399,0.24
2081,416175706,0.24
2082,417136523,0.23
2083,418082081,0.23
2084,419014901,0.22
2085,419937440,0.22
2086,420851149,0.22
2087,421757887,0.22
2088,422660912,0.21
2089,423563930,0.21
2090,424469916,0.21
2091,425380718,0.21
2092,426297198,0.22
2093,427219557,0.22
2094,428147714,0.22
2095,429081658,0.22
2096,430021582,0.22
2097,430967919,0.22
2098,431921386,0.22
2099,432882959,0.22
2100,433853891,0.22
